City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,37.06,87,40,6.91,AR,1621665562
1,pevek,69.7008,170.3133,30.09,90,91,6.98,RU,1621665856
2,doka,13.5167,35.7667,98.58,8,9,11.9,SD,1621665856
3,cape town,-33.9258,18.4232,52.12,60,0,3.2,ZA,1621665670
4,mataura,-46.1927,168.8643,49.48,93,0,2.17,NZ,1621665857
5,busselton,-33.65,115.3333,60.08,88,100,17.05,AU,1621665857
6,rikitea,-23.1203,-134.9692,76.37,61,100,9.48,PF,1621665858
7,klyuchi,52.2667,79.1667,71.06,44,83,7.14,RU,1621665858
8,punta arenas,-53.15,-70.9167,41.11,86,20,4.05,CL,1621665859
9,arraial do cabo,-22.9661,-42.0278,71.89,88,35,9.93,BR,1621665859
10,butaritari,3.0707,172.7902,83.61,79,100,19.51,KI,1621665859
11,farafangana,-22.8167,47.8333,74.82,56,54,2.17,MG,1621665860
12,pula,44.8683,13.8481,62.49,88,40,8.05,HR,1621665860
13,bengkulu,-3.8004,102.2655,81.82,69,83,4.59,ID,1621665861
14,novosergiyevka,52.0934,53.6528,79.57,40,14,16.87,RU,1621665861
15,carnarvon,-24.8667,113.6333,80.67,41,100,14.97,AU,1621665861
16,port elizabeth,-33.918,25.5701,52.09,66,0,9.22,ZA,1621665862
17,vice,-5.4167,-80.7833,66.69,76,10,11.07,PE,1621665862
18,geraldton,-28.7667,114.6,77.41,61,100,20.45,AU,1621665863
19,tiksi,71.6872,128.8694,30.56,86,100,5.88,RU,1621665863
20,barrow,71.2906,-156.7887,33.82,80,40,14.97,US,1621665781
21,nantucket,41.2835,-70.0995,57.02,89,100,13.24,US,1621665633
22,sept-iles,50.2001,-66.3821,55.92,97,75,5.75,CA,1621665768
23,atuona,-9.8,-139.0333,79.9,71,10,17.09,PF,1621665864
24,hit,33.6416,42.8251,100.94,13,10,10.65,IQ,1621665865
25,jamestown,42.097,-79.2353,67.84,80,1,3.44,US,1621665792
26,achisu,42.652,47.6828,69.49,47,1,6.2,RU,1621665865
27,safranbolu,41.2508,32.6942,55.22,86,86,3.06,TR,1621665866
28,sitka,57.0531,-135.33,48.09,93,90,9.22,US,1621665866
29,kavaratti,10.5669,72.642,82.54,76,100,5.73,IN,1621665866
30,dikson,73.5069,80.5464,31.28,90,100,6.15,RU,1621665867
31,westport,41.1415,-73.3579,64.67,88,20,1.54,US,1621665867
32,ilulissat,69.2167,-51.1,28.42,80,90,10.36,GL,1621665868
33,surany,48.0861,18.1845,59.05,79,100,8.3,SK,1621665868
34,half moon bay,37.4636,-122.4286,55.33,87,90,0.0,US,1621665868
35,albany,42.6001,-73.9662,68.61,71,100,3.44,US,1621665648
36,tabas,33.5959,56.9244,90.95,11,1,1.99,IR,1621665869
37,kapaa,22.0752,-159.319,78.78,71,75,1.99,US,1621665805
38,iqaluit,63.7506,-68.5145,20.93,73,90,8.01,CA,1621665870
39,talnakh,69.4865,88.3972,34.03,100,100,11.52,RU,1621665870
40,norman wells,65.282,-126.8329,59.04,38,75,5.75,CA,1621665870
41,guerrero negro,27.9769,-114.0611,58.77,71,0,19.91,MX,1621665871
